function_path,type,type_name
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/ProjectiveNielsPoint#Zeroize#zeroize(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/ProjectivePoint#Identity<ProjectivePoint>#identity(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/curve_models/serial/backend/ProjectivePoint#ValidityCheck<bool>#is_valid(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/decompress/edwards/step_1(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/decompress/edwards/step_2(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/decompress/ristretto/step_1(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/decompress/ristretto/step_2(),1,internal_libsignal
probe:curve25519-dalek/4.1.3/decompress_lemmas/edwards_lemmas/lemmas/lemma_decompress_field_element_sign_bit(),3,lemma
probe:curve25519-dalek/4.1.3/decompress_lemmas/edwards_lemmas/lemmas/lemma_decompress_spec_matches_point(),3,lemma
probe:curve25519-dalek/4.1.3/decompress_lemmas/edwards_lemmas/lemmas/lemma_decompress_valid_branch(),3,lemma
probe:curve25519-dalek/4.1.3/decompress_lemmas/edwards_lemmas/lemmas/lemma_sign_bit_after_conditional_negate(),3,lemma
probe:curve25519-dalek/4.1.3/decompress_lemmas/edwards_lemmas/lemmas/lemma_to_edwards_correctness(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_div_of_sum(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_div_strictly_bounded(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_divisibility_factor(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_double_neg_mod(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_int_nat_mod_equiv(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_mod_add_eq(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_mod_diff_factor(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_mod_sum_both_divisible(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_mod_sum_factor(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_mul_by_minus_one_is_negation(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_mul_distributes_over_neg_mod(),3,lemma
probe:curve25519-dalek/4.1.3/div_mod_lemmas/common_lemmas/lemmas/lemma_mul_le_implies_div_le(),3,lemma
probe:curve25519-dalek/4.1.3/double_correctness/edwards_lemmas/lemmas/lemma_double_projective_completed_valid(),3,lemma
probe:curve25519-dalek/4.1.3/edwards/&CompressedEdwardsY#CompressedEdwardsY<Option<EdwardsPoint>>#decompress(),0,direct_libsignal
